ID	Controler ID	Data	Operator	Brygada	Zlecenie	PN Wyrobu	Stanowisko	Czynność	Pytanie 1	Uzasadnienie 1	Pytanie 2	Uzasadnienie 2	Pytanie 3	Uzasadnienie 3	Pytanie 4	Uzasadnienie 4	Pytanie 5	Uzasadnienie 5	Pytanie 11	Uzasadnienie 11	Pytanie 6	Uzasadnienie 6	Pytanie 7	Uzasadnienie 7	Pytanie 8	Uzasadnienie 8	Pytanie 9	Uzasadnienie 9	Pytanie 10	Uzasadnienie 10	Uwagi	Start formularza	Stop formularza
19	DianaKonstanty	2025-03-19-18-02-52	000010	SŁONECZKA	341012	M1AB02813-Rev001	ZPA-SCEW/0	ZPA-W	TAK	Pracownik zweryfikował czy wszystkie narzędzia są na stanowisku.	TAK	Przygotowanie maszyny ustawienie barów, zmierzenie siły itp	NIE	Pracownik nie za każdym razem weryfikuje z CP	TAK	Międzyoperacyjna wcześniejszy etap, pierwszej sztuki -pierwsza wykonana sztuka zacisku.			TAK	Pracownik ma prawidłowo ustawiony licznik względem zacisku ilości w pęczku 	TAK	Dzisiaj jedynie pierwszej sztuki. Czyli poprawność zacisku wyrobu.			TAK	Operator potrafi wskazać wszystkie informacje do wykonania czynności , które są zawarte w dokumentacji.	TAK	Pracownik ma 3 ćwiartki 	TAK	Oznaczenie czerwoną etykietką,opisaną niezgodność.Odłożenie do czerwonego pudełka. Poinformowanie brygadzistę.				
20	DianaKonstanty	2025-03-21-20-58-01	000582	ATOMÓWKI	ZSU/00045/02/2025/301730	3731442900-Rev01	ZR-PP8/0	ZR-2x	NIE	Pracownikowi pomyliło się pojęcie . 	TAK	Pracownik ustawił ciśnienie na prasce.Dopasował głowicę. Zweryfikował zgodność z narzędziami dla operatorów 	NIE	Pracownik nie ma otwartego CP.	NIE	Pracownik myli czynności do pojęć. 			TAK	Operator ma prawidłowo ustawiony licznik co do ilości zacisku,który wykonuje 	TAK	Pracownik zmierzył długość przewodów strony zacisku.			TAK	Pracownik pokazał w dokumentacji ,które przewody zaciska jaka końcówka itp. Potrafi wskazać w dokumentacji.	NIE	Pracownik nie ma pojęcia ile ma ćwiartek.	TAK	Twierdzi , że tak .Oznacza czerwoną opisaną etykietą i zgłasza brygadziście.	Objaśnienie pracownikowi wszelkich pojęć ,które były niezrozumiałe. Pokazanie w którym miejscu znajduje się mapa kompetencji w celu weryfikacji. 			
21	DianaKonstanty	2025-03-24-09-24-27	000573	ATOMÓWKI	ZSA/00004/03/2025/593750	364E22031200-Rev03	ZR-G/0	ZR	NIE	Pracownik nie wykonał tych czynności.Twordzi ,że wiecznie się te pojęcia mylą	NIE	Pracownik szkoli się na stanowisku. Maszynę miał gotową do pracy . Twierdząc ,że dlatego tej czynności nie wykonał 	TAK	Przed przystąpieniem do pracy operator zapoznal się z CP do tej czynności.	TAK	Międzyoperacyjna - etap przede mną wykonany . Kontrola pierwszej sztuki- kontrola wykonania swojej 1 sztuki. 			TAK	Pracownik ma prawidłowo ustawiony licznik 	TAK	Pracownik zmierzył długość przewodu . Wcześniejszy etap zaciskał sam zacisk końcówki kątowej. 			TAK	Operator ma otwarty dokument i wskazuje przydatne informacje do tej czynności 	NIE	Niewie . Pracownik jest szkolony na tym stanowisku.Jest drugi dzień na tej maszynie.	TAK	Zakładamy czerwona etykietę opisując problem i zgłaszamy brygadziście.	Objaśnienie operatorowi zagadnień z którymi miał problem.			
22	DianaKonstanty	2025-03-24-09-54-58	000536	SŁONECZKA	ZSK/00120/11/2024/722150	M1BH04862-Rev0	LUT-TYG/0	LUTOWANIE	TAK	Pracownik sprawdził czy ma wszystkie narzędzia na stanowisku.	TAK	Pracownik zapoznał się z instrukcją zanim przystąpił do pracy sprawdził lutownice dobrał grota itp.	TAK	Na początku przed przystąpieniem do pracy zapoznał się z CP.	TAK	Międzyoperacyjna- sprawdzam wcześniejszy etap czyli w tym przypadku wpięcie w złącze. Pierwszej sztuki to jest moja pierwsza wykonana sztuka.			NIE	Licznik nie obowiązuje 	TAK	Operator sprawdził poprawność wpięcia w złącze ,zmierzył długość przewodów a także czy wszystkie przewody są w zgodnej ilości do wykonania lutowania .			TAK	Pracownik wskazał niezbędne informacje potrzebne do wykonania tej czynności 	TAK	3 ćwiartki 	TAK	Zaznaczam czerwona etykietą opisując to . Wkładam do czerwonego pudełka wpisuje w niezgodnościach oraz zgłasza brygadziście. 				
23	AnastazjaFalowska	2025-03-24-21-22-48	000278	BYSTRZAKI	ZSA/00019/02/2025/583250	3732501400-Rev00	ZR-G/0	ZR-G/0	TAK		NIE		TAK		TAK				TAK		TAK				TAK		NIE		TAK		Monitor nadal się wyłącza, zacisk wykonany na złych ustawieniach tak przekazał Broda P, pracownik szkoli się na stanowisku 			
24	AnastazjaFalowska	2025-03-25-19-06-33	000335	SŁONECZKA	ZSK/00009/01/2025/305210ZSK/00009/01/2025/305210	D18 3.1-Rev04	M/0	M/0	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
25	AnastazjaFalowska	2025-03-25-21-46-14	000550	ABSOLUTNE ASY	ZSK/00122/12/2024/722810ZSK/00122/12/2024/722810	M1SV184-21912-Rev004	CP-PS	Cięcie przewodu	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
26	DianaKonstanty	2025-03-26-11-39-14	000087	SŁONECZKA	ZSK/00122/12/2024/722810	M1SV184-21912-Rev004	ZPA/0	ZR	TAK		TAK		TAK		TAK	Międzyoperacyjna wcześniejszy etap, pierwszej sztuki -pierwsza wykonana sztuka zacisku.			TAK	Pracownik ma prawidłowo ustawiony licznik 	TAK				TAK	Operator wskazuje wszystkie informacje potrzebne do wykonania zacisku	NIE	Pracownik nie wie ile ma ćwiartek 	TAK	Oklejenie czerwona etykietą i opisanie niezgodności. Zgłoszenie do brygadzisty i włożenie do czerwonego pudełka.				
27	DianaKonstanty	2025-03-26-11-48-34	000355	PSZCZÓŁKI	ZSK/00078/02/2025/703990	1050000058-Rev00	TEST-O/0	TEST	TAK		TAK		NIE	Z CP pracownik korzysta w razie potrzeby 	TAK	Pierwsza sztuka pierwsza wykonana sztuka , międzyoperacyjna wcześniejszy etap przed swoim 			NIE	Licznik nie obowiązuje 	NIE	Pracownik nie wykonał bo zapomniał 			NIE	Pracownik nie ma otwartego dokumentu na stanowisku testu	NIE	Nie ma pojęcia ile ma ćwiartek 	TAK	Oznaczenie czerwona etykietą zgłoszenie do brygadzisty 				
28	AnastazjaFalowska	2025-03-26-19-59-05	000596	STOKROTKI	ZSE/00003/01/2025/306040	10070772-RevD	OB/0	Obkurcz 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		NIE		TAK					
29	AnastazjaFalowska	2025-03-26-21-38-19	000526	ATOMÓWKI	ZSU/00018/03/2025/722990	3731438000-Rev01	MO 	Montaż wiązki 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
30	AnastazjaFalowska	2025-03-27-21-11-05	000631	ABSOLUTNE ASY	ZSA/00014/03/2025/598130	364E24002200-Rev01	CNK	Cięcie koszulek 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		NIE		TAK					
31	AnastazjaFalowska	2025-03-27-21-28-11	000481	ATOMÓWKI	ZSK/00079/03/2025/306120	D11 BONO 3.3.-Rev09	M/0	Montaż w złączu 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
32	DianaKonstanty	2025-03-28-11-09-13	000506	ATOMÓWKI	ZSK/00079/03/2025/306110	D11 BONO 3.2.-Rev09	M/0	M-W-ZŁĄCZU	TAK		NIE		NIE	W tej chwili nie ale zapoznała się wcześniej 	TAK	Międzyoperacyjna poprzedni etap Pierwszej sztuki moja wykonana sztuka.			NIE	Licznik nie obowiązuje 	TAK	Pierwszej sztuki tak . Międzyoperacyjna pracownik zweryfikował długość przewodu i czy wszystkie kolory przewodów są 			TAK	Operator korzysta z dokumentacji podczas wykonywanej czynności 	NIE	Pracownik nie ma świadomości 	TAK	Mam okleić opisaną etykietę. Poinformować brygadzistę 				
33	AnastazjaFalowska	2025-03-28-17-45-26	000327	ABSOLUTNE ASY	ZSK/00111/02/2025/721430	M1WW06294-Rev0	CP-ES	Cięcie przewodu 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
34	AnastazjaFalowska	2025-03-28-18-48-23	000174	SŁONECZKA	ZSW/00011/01/2025/306010	01NV03-Rev3	M/0	Montaż uszczelniacz	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
35	KlaudiaBA	2025-03-31-08-42-31	000174	SŁONECZKA	ZSW/00011/01/2025/306010	10009688-RevC	ZPA/0	ZPA	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK	Brak czerwonych etykiet na stanowisku P1-S-B-04				
36	KlaudiaBA	2025-03-31-08-51-36	000367	ABSOLUTNE ASY	ZSK/00077/02/2025/704110	1050000070-Rev00	CP-SC	CP 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
37	KlaudiaBA	2025-03-31-09-03-27	000148	ATOMÓWKI	ZSK/00075/02/2025/720400	M1PE11848-Rev004	ZPA/0	ZPA-2x	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
38	KlaudiaBA	2025-03-31-09-23-02	000500	SŁONECZKA	ZSK/00059/03/2025/306060	K17 3.1-Rev05	MO 	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
39	KlaudiaBA	2025-03-31-09-35-59	000596	STOKROTKI	ZSK/00027/03/2025/305920	D18 3.3-Rev04	M/0	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				TAK	Nie dotyczy	TAK				TAK		TAK		TAK					
40	AnastazjaFalowska	2025-03-31-12-58-37	000622	ABSOLUTNE ASY	ZSK/00017/01/2025/718220	M1AB05109-Rev0	WTRYSK	Wtrysk 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		NIE	Brak szkolenia na stanowisku	TAK		Brak możliwości otwarcia TPM  na stanowisku			
41	AnastazjaFalowska	2025-03-31-13-05-09	000572	SŁONECZKA	ZSK/00036/03/2025/721630	5110001085 (95677)-Rev0	ZR-PP8/0	Zacisk tulejki	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
42	AnastazjaFalowska	2025-03-31-13-05-11	000572	SŁONECZKA	ZSK/00036/03/2025/721630	5110001085 (95677)-Rev0	ZR-PP8/0	Zacisk tulejki	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
43	KlaudiaBA	2025-04-01-10-25-56	000174	SŁONECZKA	ZSW/00011/01/2025/306010	01NV03-Rev3	OB/0	OB	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
44	KlaudiaBA	2025-04-01-10-30-15	000442	PSZCZÓŁKI	ZSK/00111/12/2024/698470	10-22-000175-Rev00	ZPA/0	ZPA	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
45	KlaudiaBA	2025-04-01-11-00-16	000278	BYSTRZAKI	ZSK/00027/03/2025/305950	D18 3.3-Rev04	M/0	M-W-ZŁĄCZU	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
46	KlaudiaBA	2025-04-01-12-03-40	000453	ABSOLUTNE ASY	ZSW/00011/03/2025/721880	1-2-1292-2040-Rev15	CP-ZAA	CP-ZA	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
47	KlaudiaBA	2025-04-01-12-15-25	000055	ATOMÓWKI	ZSU/00028/03/2025/723580	3731951800-Rev02	ZPA-T	ZPA-T	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK	W trakcie szkolenia 	TAK					
48	AnastazjaFalowska	2025-04-01-13-56-19	000546	ATOMÓWKI	ZSA/00030/03/2025/003030	3732367400-Rev01	M/0	KOMPLETOWANIE	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK					
49	AnastazjaFalowska	2025-04-01-14-05-35	000597	PSZCZÓŁKI	AZSK/00111/12/2024/698480	10-22-000176-Rev00	OB/0	Obkurcza 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK					
50	DianaKonstanty	2025-04-01-20-03-56	000506	ATOMÓWKI	ZSU/00028/03/2025/73340	3731951200	M/0	KOR-CZYSZ	TAK		TAK		NIE		TAK				NIE		TAK				TAK		TAK	3 	TAK					
51	KlaudiaBA	2025-04-02-11-24-51	000311	ATOMÓWKI	ZSU/00031/02/2025/223410	10040314-REVAG16	ZPA/0	ZPA	TAK	Stanowisko w trakcie przekładania 	TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
52	KlaudiaBA	2025-04-02-11-30-14	000008	BYSTRZAKI	ZSK/00063/02/2025/703670	1050000056-Rev00	ZPA/0	ZPA-2x	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
53	KlaudiaBA	2025-04-02-11-50-51	000477	BYSTRZAKI	ZSK/00128/12/2024/720100	1171176A-Rev00	M/0	M-WIĄZKI	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
54	KlaudiaBA	2025-04-02-12-03-35	000225	SŁONECZKA	ZSE/00006/02/2025/721650	2063354-Rev02/G13-18Z	M/0	M-WAGO	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
55	AnastazjaFalowska	2025-04-02-14-24-50	000611	ATOMÓWKI	ZSA/00024/03/2025/002500	3731808300-Rev00	ZR-PP8/0	Zacisk tulejki	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
56	DianaKonstanty	2025-04-03-18-51-05	000470	BYSTRZAKI	ZSK/00008/03/2025/722050	M1WW06283-Rev0	LUT-TYG/0	CYN	TAK		TAK		NIE		TAK				NIE	Nie obowiązuje 	TAK				TAK		TAK		TAK		Weryfikacja poprawności cynowania przewodu czarnego 			
57	AnastazjaFalowska	2025-04-04-10-58-42	000384	STOKROTKI	ZSE/00003/01/2025/223070	10078187-RevD	ZR-G/0	Zacisk 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		NIE	Pracownik szkoli się na stanowisku 	TAK					
58	AnastazjaFalowska	2025-04-04-11-17-21	000055	ATOMÓWKI	ZSA/00017/03/2025/002010	3731366300-Rev00	M/0	Montaż wiązki 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		NIE	Pracownik szkoli się na stanowisku 	TAK					
59	DianaKonstanty	2025-04-04-16-58-16	000573	ATOMÓWKI	ZSA/00030/03/2025/002680	3080448400-Rev00	OB/0	OB	TAK		TAK		NIE		TAK				NIE	Nie obowiązuje 	TAK				TAK		NIE		TAK					
60	AnastazjaFalowska	2025-04-07-21-38-42	000521	ABSOLUTNE ASY	ZSU/00014/03/2025/306370	10039731G4-RevD	CP-ZAA	Cięcie	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
61	DianaKonstanty	2025-04-09-09-34-57	000377	ATOMÓWKI	ZSA/00022/03/2025/002630	3732173600-Rev01	OB/0	OB	NIE	Pracownik nie wykonał czynności zawartych w TPM	NIE	Pracownik zapomniał to wykonać 	NIE	Pracownik korzysta jedynie gdy coś w dokumentacji jest niejasne	TAK				NIE	Nie obowiązuje 	TAK				TAK		TAK	4cwiartki	TAK					
62	KlaudiaBA	2025-04-09-10-59-41	000615	PSZCZÓŁKI	ZSK/00059/02/2025/703520	10-51-000510-Rev00	ZPA/0	ZPA	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
63	KlaudiaBA	2025-04-09-11-03-56	000349	ABSOLUTNE ASY	ZSK/00005/04/2025/001050	18190015-Rev1	CP-ZAG	CP-ZA	TAK		TAK	Brak TWI do stanowiska CP-ZAG	TAK		TAK				TAK		TAK				TAK		TAK		TAK					
64	KlaudiaBA	2025-04-09-11-27-06	000574	ATOMÓWKI	ZSA/00030/03/2025/003000	3732039100-Rev02	M/0	M-WIĄZKI	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
65	KlaudiaBA	2025-04-09-11-35-12	000444	SŁONECZKA	ZSK/00065/03/2025/723690	M1AB27922-Rev0	M/0	KOR-CZYSZ	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
66	KlaudiaBA	2025-04-09-11-56-04	000587	PSZCZÓŁKI	ZSK/00059/02/2025/703520	10-51-000510-Rev00	ZPA/0	ZPA	TAK		NIE	Brak TWI do zacisku BNC, pani nie do końca wie czym jest TWI nie wie czym jest instrukcja twi	NIE	Wie gdzie znaleźć CP ale nie do końca wie czym jest CP i nie wie jak korzystać 	NIE	Operator myli pojęcia kontroli pierwszej sztuki z kontrolą międzyoperacyjna 			TAK		TAK				TAK		TAK		TAK					
67	AnastazjaFalowska	2025-04-09-18-25-22	000499	SŁONECZKA	ZSK/00079/03/2025/306100ZSK/00079/03/2025/306100	D11 BONO 3.1.-Rev09	ZR-K/0	Zacisk 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK		Brak czytnika na stanowisku, problem z zaczytaniem dokumentu Brak oświetlenie na stanowisku 			
68	DianaKonstanty	2025-04-10-10-00-02	000470	BYSTRZAKI	ZSK/00122/04/2024/302400	611-0047-Rev1.6	OB/0	OB	TAK	Pracownik sprawdził na stanowisku czy wszystkie narzędzia są dostępne czy stanowisko jest odpowiednio przygotowane 	TAK	Pracownik przygotował urządzenie do pracy 	TAK	Pracownik ma otwarty CP 	TAK	Międzyoperacyjna sprawdzam etap wcześniejszy . Kontrola pierwszej sztuki weryfikacja wykonują swojej pierwszej sztuki  			NIE	Licznik nie obowiązuje 	TAK				TAK		NIE		TAK	Oklejam czerwona etykietą opisuje odkładam do czerwonego pudełka i zgłaszamy brygadziście 				
69	KlaudiaBA	2025-04-10-11-59-07	000125	SŁONECZKA	ZSK/00088/03/2025/723970	M1PX00282-Rev003	ODIZ-2300	ODIZ	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
70	AnastazjaFalowska	2025-04-10-21-28-26	000584	STOKROTKI	ZSK/00079/03/2025/306150	D18 3.1-Rev04	TEST-O/0	Test 	TAK		TAK		TAK		NIE	Nie wie co to jest kontrola międzyoperacyjna 			NIE		NIE				TAK		NIE		TAK					
71	DianaKonstanty	2025-04-11-09-54-47	000506	ATOMÓWKI	ZSA/00029/03/2025/003310	3732216500-Rev01	ZPA-T	ZPA	TAK		TAK		NIE		TAK				TAK		TAK				TAK		TAK		TAK		Odizolowanie pod zacisk nasuwki jest wykonane błędnie. Za krótkie odizolowanie pod nasuwke 05-001-0143			
72	KlaudiaBA	2025-04-11-10-03-08	000605	BYSTRZAKI	ZSK/00088/03/2025/723920	M1PX00201-Rev002	ZPA-SC	ZPA-W	TAK		TAK		TAK		TAK				NIE	Brak licznika	TAK				TAK		NIE	Nie ma pojęcia ile ma ćwiartek 	TAK	P1S-M-03 BRAK CZERWONYCH ETYKIET				
73	KlaudiaBA	2025-04-11-10-23-11	000409	BYSTRZAKI	ZSK/00071/02/2025/722010	M1SV184-22207-Rev004	TEST-O/0	TEST	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		NIE	Dawno nie sprawdzała w mapie 	TAK					
74	KlaudiaBA	2025-04-11-10-35-06	000279	STOKROTKI	ZSK/00126/03/2025/724890	M1WW12886-Rev001	ZR-IDC	Z-IDC	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
75	AnastazjaFalowska	2025-04-11-18-55-54	000174	SŁONECZKA	ZSK/00108/03/2025/722000	5110001280 (97166)-Rev0	ZPA/0	Zacisk podwójny 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK					
76	AnastazjaFalowska	2025-04-11-19-01-43	000174	SŁONECZKA	ZSK/00108/03/2025/722000	5110001280 (97166)-Rev0	ZPA/0	Zacisk podwójny 	TAK		TAK		TAK		TAK				TAK		TAK				TAK		TAK		TAK		Do zacisku nasuwki był wołany Pietrzak T			
77	AnastazjaFalowska	2025-04-11-21-25-19	000339	STOKROTKI	ZSU/00007/03/2025/306640	10078190-RevG	TEST-O/0	Montaż wiązki 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK		Problem z montażem wiązki na tablicy, tablica wykonana nieczytelne 			
78	AnastazjaFalowska	2025-04-14-11-59-06	000278	BYSTRZAKI	ZSK/00122/04/2024/302400	611-0047-Rev1.6	LUT-TYG/0	Cynowania 	TAK		TAK		TAK		TAK				NIE	Nie dotyczy	TAK				TAK		TAK		TAK					
81	AnastazjaFalowska	2025-04-15-11-03-34	000481	ATOMÓWKI	ZSA/00033/03/2025/603810	364E21232100-Rev03	ZR-G/0	Zacisk	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik szkoli się na stanowisku 	TAK					
82	AnastazjaFalowska	2025-04-15-11-19-35	000622	ABSOLUTNE ASY	ZSK/00059/02/2025/701720	10-51-000136-Rev01	CP-PS	Cięcie ze znakowaniem przewodu 	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		NIE	Pracownik szkoli się na stanowisku 	TAK		Wydane są tylko opaski,brak złącz na magazynie 			
83	KlaudiaBA	2025-04-15-11-38-56	000409	BYSTRZAKI	ZSK/00088/03/2025/723940	M1PX00257-Rev001	ZR-PP8/0	ZR	TAK		TAK		TAK		TAK				TAK		TAK		TAK		TAK		TAK	4	TAK	Wystąpienie niezgodności z poprzedniego etapu- cięcia. Weryfikacja wady przez brygadzistę. Niezgodność oznaczona czerwona etykietą 				
84	KlaudiaBA	2025-04-15-11-54-29	000323	PSZCZÓŁKI	ZSK/00051/03/2025/706290	1050000888-Rev00	ODIZ-ZF	ODIZ-SEKW	TAK		TAK		TAK		NIE	Operator myli pojęcia kontroli pierwszej sztuki z kontrolą międzyoperacyjna 			N/D		TAK	Sprawdzono długość odizolowania pod odpowiednią końcówkę 	TAK		TAK	3	TAK		TAK					
85	KlaudiaBA	2025-04-15-12-08-54	000526	ATOMÓWKI	ZSA/00030/03/2025/003330	3731316400-Rev01	M/0	M-WIĄZKI	TAK		TAK		TAK		TAK				N/D		TAK		TAK		TAK		TAK	4	TAK					
